Economy_ID,Economy,Economy_Type,Underlying_Economy,In_Euro,In_Market_Portfolio,Display_Name
1,E_AUD,Developed,E_AUD,0,1,Australia
2,E_AUT,Developed,E_AUT,1,1,Austria
3,E_BEF,Developed,E_BEF,1,1,Belgium
4,E_CAD,Developed,E_CAD,0,1,Canada
5,E_DKK,Developed,E_DKK,0,1,Denmark
6,E_FKK,Developed,E_FKK,1,1,Finland
7,E_FRA,Developed,E_FRA,1,1,France
8,E_DEM,Developed,E_DEM,1,1,Germany
9,E_GRD,Developed,E_GRD,0,0,Greece
10,E_HKD,Developed,E_HKD,0,1,Hong Kong
11,E_IRE,Developed,E_IRE,1,1,Ireland
12,E_ITL,Developed,E_ITL,1,1,Italy
13,E_JPY,Developed,E_JPY,0,1,Japan
14,E_NTH,Developed,E_NTH,1,1,Netherlands
15,E_NZD,Developed,E_NZD,0,1,New Zealand
16,E_NOK,Developed,E_NOK,0,1,Norway
17,E_PTE,Developed,EURSTOXX50,0,0,Portugal
18,E_SGD,Developed,E_SGD,0,1,Singapore
19,E_ESP,Developed,E_ESP,1,1,Spain
20,E_SEK,Developed,E_SEK,0,1,Sweden
21,E_CHF,Developed,E_CHF,0,1,Switzerland
22,E_GBP,Developed,E_GBP,0,1,UK
23,E_USD,Developed,E_USD,0,1,US
24,E_ARS,Emerging,E_ARS,0,1,Argentina
25,E_BRL,Emerging,E_BRL,0,1,Brazil
26,E_CNY,Emerging,E_CNY,0,1,China
27,E_CZK,Emerging,E_CZK,0,1,Czech Republic
28,E_HUF,Emerging,E_HUF,0,1,Hungary
29,E_INR,Emerging,E_INR,0,1,India
30,E_IDR,Emerging,E_IDR,0,1,Indonesia
31,E_MYR,Emerging,E_MYR,0,1,Malaysia
32,E_PHP,Emerging,E_PHP,0,1,Philippines  
33,E_PLN,Emerging,E_PLN,0,1,Poland
34,E_ZAR,Emerging,E_ZAR,0,1,South Africa
35,E_KRW,Emerging,E_KRW,0,1,South Korea
36,E_TWD,Emerging,E_TWD,0,1,Taiwan
37,E_THB,Emerging,E_THB,0,1,Thailand
38,E_RUB,Emerging,E_RUB,0,1,Russia
39,E_MXN,Emerging,E_MXN,0,1,Mexico
40,E_TRY,Emerging,E_TRY,0,0,Turkey
41,E_ILS,Emerging,E_ILS,0,0,Israel
42,NDX,Other,E_USD,0,0,NASDAQ
43,RUT,Other,E_USD,0,0,Russell 2000
44,E_GBP_S,Other,E_GBP,0,0,UK Small Cap
45,E_JPY_S_SNP,Other,E_JPY,0,0,Japan Small Cap
46,FTSE100,Other,E_GBP,0,0,FTSE 100
47,FTSE250,Other,E_GBP,0,0,FTSE 250
48,FTSE350_HY,Other,E_GBP,0,0,FTSE350 Higher Yield
49,E_USD_S,Other,E_USD,0,0,US Small Cap
50,EURSTOXX50,Other,EURSTOXX50,0,0,Eurostoxx50
51,DJStoxx50,Other,EURSTOXX50,0,0,DJ Stoxx 50
52,E_AUD_M,Other,E_AUD,0,0,Australia Mid Cap
53,E_AUD_S,Other,E_AUD,0,0,Australia Small Cap
54,E_CAD_M,Other,E_CAD,0,0,Canada Mid Cap
55,E_DEM_M,Other,E_DEM,0,0,Germany Mid Cap
56,E_DEM_S,Other,E_DEM,0,0,Germany Small Cap
57,E_ESP_M,Other,E_ESP,0,0,Spain Mid Cap
58,HEX25,Other,E_FKK,0,0,Finland (Hex25)
59,E_NTH_M,Other,E_NTH,0,0,Netherlands Mid Cap
60,MSCI_EM_USD,Regional,E_USD,0,0,MSCI EM (USD)
61,MSCI_EM_GBP,Regional,E_GBP,0,0,MSCI EM (GBP)
62,MSCI_EM_EUR,Regional,EURSTOXX50,0,0,MSCI EM (EUR)
63,MSCI_AsiaPacExJap_USD,Other,E_USD,0,0,MSCI AsiaPacXJpn (USD)
64,MSCI_AsiaPacExJap_GBP,Other,E_GBP,0,0,MSCI AsiaPacXJpn (GBP)
65,MSCI_AsiaPacExJap_EUR,Other,EURSTOXX50,0,0,MSCI AsiaPacXJpn (EUR)
66,Timber,Other,E_GBP,0,0,Timber
67,Infrastructure,Other,E_GBP,0,0,S&P GLOBAL INFRA $ - TOT RETURN IND (GBP)
68,TOPIX,Other,E_JPY,0,0,Topix
69,NKY225,Other,E_JPY,0,0,Nikkei 225 
70,SP_MID,Other,E_USD,0,0,SP Mid Cap
71,EAFE_GBP,Regional,E_GBP,0,0,MSCI EAFE (GBP)
72,EAFE_USD,Regional,E_USD,0,0,MSCI EAFE (USD)
73,Euro_HY_TR,Other,EURSTOXX50,0,0,Euro Higher Yield TR
74,MSCI_WRLD_GBP,Other,E_GBP,0,0,MSCI World (GBP)
75,SP100,Other,E_USD,0,0,S&P 100
76,E_USD_L,Other,E_USD,0,0,US Large Cap
77,MSCI_AC_WRLDExUS_USD,Other,E_USD,0,0,MSCI AC World ex US (USD)
78,MSCI_WRLD_ZAR,Other,E_ZAR,0,0,MSCI World (ZAR)
79,DJ_Ind_Av,Other,E_USD,0,0,DJ Industrial Average
80,MSCI_WRLD_NOK,Other,E_NOK,0,0,MSCI World (NOK)
81,MSCI_EM_NOK,Other,E_NOK,0,0,MSCI EM (NOK)
82,MSCI_WRLDExAU_AUD,Other,E_AUD,0,0,MSCI AC World ex Austrailia (AUD)
83,JSE_AllShare,Other,E_ZAR,0,0,JSE_AllShare
84,JSE_Prop,Other,E_ZAR,0,0,JSE_Prop
