Economy,MarketCap
E_ARS,14879.0000000000
E_AUD,903954.0000000000
E_AUT,24326.0000000000
E_BEF,143816.0000000000
E_BRL,303151.0000000000
E_CAD,1225548.0000000000
E_CHF,1057425.0000000000
E_CNY,1045283.0000000000
E_CZK,7286.0000000000
E_DEM,1135369.0000000000
E_DKK,201016.0000000000
E_ESP,383352.0000000000
E_FKK,117717.0000000000
E_FRA,1243522.0000000000
E_GBP,2238127.0000000000
E_GRD,14590.0000000000
E_HKD,396279.0000000000
E_HUF,12318.0000000000
E_IDR,103495.0000000000
E_INR,328196.0000000000
E_IRE,57992.0000000000
E_ITL,253701.0000000000
E_JPY,2946211.0000000000
E_KRW,568472.0000000000
E_MXN,139740.0000000000
E_MYR,99195.0000000000
E_NOK,81094.0000000000
E_NTH,404628.0000000000
E_NZD,21835.0000000000
E_PHP,47644.0000000000
E_PLN,45063.0000000000
E_PTE,18485.0000000000
E_RUB,177826.0000000000
E_SEK,346949.0000000000
E_SGD,151495.0000000000
E_THB,91876.0000000000
E_TRY,41195.0000000000
E_TWD,480715.0000000000
E_USD,20238510.0000000000
E_ZAR,279718.0000000000
