"Index","E_ARS","E_AUD","E_AUT","E_BEF","E_BRL","E_CAD","E_CHF","E_CNY","E_CZK","E_DEM","E_DKK","E_ESP","E_FKK","E_FRA","E_GBP","E_GRD","E_HKD","E_HUF","E_IDR","E_ILS","E_INR","E_IRE","E_ITL","E_JPY","E_KRW","E_MXN","E_MYR","E_NOK","E_NTH","E_NZD","E_PHP","E_PLN","E_RUB","E_SEK","E_SGD","E_SKK","E_THB","E_TRY","E_TWD","E_USD","E_ZAR","EURSTOXX50"
1960-01-31,null,null,null,0.0347,null,null,0.0181,null,null,0.0436,null,null,null,0.0391,0.0454,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0253,null,null,null,null,null,null,null,null,null,null,0.0435,null,0.034763157776324
1960-02-29,null,null,null,0.035,null,null,0.0175,null,null,0.0447,null,null,null,0.0411,0.0455,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0248,null,null,null,null,null,null,null,null,null,null,0.0396,null,0.035293889223481
1960-03-31,null,null,null,0.035,null,null,0.0175,null,null,0.0471,null,null,null,0.0417,0.0462,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0233,null,null,null,null,null,null,null,null,null,null,0.0331,null,0.0354768712351179
1960-04-30,null,null,null,0.035,null,null,0.0175,null,null,0.0459,null,null,null,0.0422,0.0465,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0225,null,null,null,null,null,null,null,null,null,null,0.0323,null,0.035081185728032
1960-05-31,null,null,null,0.035,null,null,0.02,null,null,0.0464,null,null,null,0.0425,0.0456,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.023,null,null,null,null,null,null,null,null,null,null,0.0329,null,0.0353882208007827
1960-06-30,null,null,null,0.035,null,null,0.0213,null,null,0.0525,null,null,null,0.0415,0.0568,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0249,null,null,null,null,null,null,null,null,null,null,0.0246,null,0.0370523754307873
1960-07-31,null,null,null,0.035,null,null,0.0188,null,null,0.0558,null,null,null,0.0453,0.0555,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0219,null,null,null,null,null,null,null,null,null,null,0.023,null,0.0375787560846726
1960-08-31,null,null,null,0.044,null,null,0.0163,null,null,0.0544,null,null,null,0.0405,0.0559,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0205,null,null,null,null,null,null,null,null,null,null,0.023,null,0.0382267923752231
1960-09-30,null,null,null,0.045,null,null,0.0163,null,null,0.0561,null,null,null,0.0415,0.0557,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.02,null,null,null,null,null,null,null,null,null,null,0.0248,null,0.0388747134622551
1960-10-31,null,null,null,0.045,null,null,0.0213,null,null,0.061,null,null,null,0.0399,0.0509,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0196,null,null,null,null,null,null,null,null,null,null,0.023,null,0.0395036473133986
1960-11-30,null,null,null,0.045,null,null,0.0175,null,null,0.0538,null,null,null,0.0376,0.0464,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0157,null,null,null,null,null,null,null,null,null,null,0.0237,null,0.0364156554341794
1960-12-31,null,null,null,0.045,null,null,0.0213,null,null,0.0506,null,null,null,0.037,0.0435,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0151,null,null,null,null,null,null,null,null,null,null,0.0225,null,0.0354511176096972
1961-01-31,null,null,null,0.045,null,null,0.0175,null,null,0.0466,null,null,null,0.0365,0.0417,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0132,null,null,null,null,null,null,null,null,null,null,0.0224,null,0.0339564843947402
1961-02-28,null,null,null,0.045,null,null,0.0175,null,null,0.0413,null,null,null,0.0359,0.044,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0114,null,null,null,null,null,null,null,null,null,null,0.0242,null,0.0321966170720423
1961-03-31,null,null,null,0.045,null,null,0.015,null,null,0.0373,null,null,null,0.037,0.0449,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0103,null,null,null,null,null,null,null,null,null,null,0.0239,null,0.0312296858901361
1961-04-30,null,null,null,0.045,null,null,0.015,null,null,0.0334,null,null,null,0.037,0.0441,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0077,null,null,null,null,null,null,null,null,null,null,0.0229,null,0.0296444462472036
1961-05-31,null,null,null,0.045,null,null,0.0163,null,null,0.0323,null,null,null,0.0391,0.0444,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0083,null,null,null,null,null,null,null,null,null,null,0.0229,null,0.0299724728201614
1961-06-30,null,null,null,0.045,null,null,0.0188,null,null,0.0313,null,null,null,0.0376,0.0454,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0088,null,null,null,null,null,null,null,null,null,null,0.0233,null,0.0296296157988617
1961-07-31,null,null,null,0.045,null,null,0.0175,null,null,0.0316,null,null,null,0.0365,0.0669,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0088,null,null,null,null,null,null,null,null,null,null,0.0224,null,0.0294907190499431
1961-08-31,null,null,null,0.0444,null,null,0.0175,null,null,0.0309,null,null,null,0.0352,0.067,null,null,null,null,null,null,null,0.0363,0.0608,null,null,null,null,0.0084,null,null,null,null,null,null,null,null,null,null,0.0239,null,0.0288370656648518
