Economy,Date,Rate
DJ_Ind_Av,1951-02-28,155.2762802109
DJ_Ind_Av,1951-03-30,153.1077719532
DJ_Ind_Av,1951-04-30,159.6379388655
DJ_Ind_Av,1951-05-31,153.7977518534
DJ_Ind_Av,1951-06-29,149.4792169426
DJ_Ind_Av,1951-07-31,158.8555509430
DJ_Ind_Av,1951-08-31,166.4884535886
DJ_Ind_Av,1951-09-28,167.0490622574
DJ_Ind_Av,1951-10-31,161.6216310785
DJ_Ind_Av,1951-11-30,160.9562933176
DJ_Ind_Av,1951-12-31,165.8600790366
DJ_Ind_Av,1952-01-31,166.7595171208
DJ_Ind_Av,1952-02-29,160.2231896737
DJ_Ind_Av,1952-03-31,166.0017713376
DJ_Ind_Av,1952-04-30,158.7138586421
DJ_Ind_Av,1952-05-30,161.9851026330
DJ_Ind_Av,1952-06-30,168.9588280525
DJ_Ind_Av,1952-07-31,172.2239115087
DJ_Ind_Av,1952-08-29,169.4393497687
DJ_Ind_Av,1952-09-30,166.7102328422
DJ_Ind_Av,1952-10-31,165.8600790366
DJ_Ind_Av,1952-11-28,174.7497307861
DJ_Ind_Av,1952-12-31,179.8260114801
DJ_Ind_Av,1953-01-30,178.5138175628
DJ_Ind_Av,1953-02-27,175.1255234103
DJ_Ind_Av,1953-03-31,172.4148880882
DJ_Ind_Av,1953-04-30,169.2606942589
DJ_Ind_Av,1953-05-29,167.7390421576
DJ_Ind_Av,1953-06-30,165.2625071588
DJ_Ind_Av,1953-07-31,169.6488079527
DJ_Ind_Av,1953-08-31,160.9254906435
DJ_Ind_Av,1953-09-30,162.6627614636
DJ_Ind_Av,1953-10-30,169.9137109501
DJ_Ind_Av,1953-11-30,173.3389683116
DJ_Ind_Av,1953-12-31,173.0494231749
DJ_Ind_Av,1954-01-29,180.1278776864
DJ_Ind_Av,1954-02-26,181.4523926734
DJ_Ind_Av,1954-03-31,186.9783924095
DJ_Ind_Av,1954-04-30,196.7243584993
DJ_Ind_Av,1954-05-31,201.7513549148
DJ_Ind_Av,1954-06-30,205.4723179478
DJ_Ind_Av,1954-07-30,214.3373275580
DJ_Ind_Av,1954-08-31,206.8707593526
DJ_Ind_Av,1954-09-30,222.0626382259
DJ_Ind_Av,1954-10-29,216.9370732532
DJ_Ind_Av,1954-11-30,238.2710053449
DJ_Ind_Av,1954-12-31,249.1258677028
DJ_Ind_Av,1955-01-31,251.8611451642
DJ_Ind_Av,1955-02-28,253.7339477503
DJ_Ind_Av,1955-03-31,252.3971116938
DJ_Ind_Av,1955-04-29,262.2231647363
DJ_Ind_Av,1955-05-31,261.7364824853
DJ_Ind_Av,1955-06-30,278.0742208356
DJ_Ind_Av,1955-07-29,286.9885147243
DJ_Ind_Av,1955-08-31,288.4239193380
DJ_Ind_Av,1955-09-30,287.4628759057
DJ_Ind_Av,1955-10-31,280.2242474888
DJ_Ind_Av,1955-11-30,297.7140058510
DJ_Ind_Av,1955-12-30,300.8805207499
DJ_Ind_Av,1956-01-31,290.0010162527
DJ_Ind_Av,1956-02-29,297.9542667090
DJ_Ind_Av,1956-03-30,315.2900117007
DJ_Ind_Av,1956-04-30,317.9575232790
DJ_Ind_Av,1956-05-31,294.5043672082
DJ_Ind_Av,1956-06-29,303.5788350023
DJ_Ind_Av,1956-07-31,318.9986536640
DJ_Ind_Av,1956-08-31,309.2834902483
DJ_Ind_Av,1956-09-28,292.7794174578
DJ_Ind_Av,1956-10-31,295.6132634764
DJ_Ind_Av,1956-11-30,291.2577653566
DJ_Ind_Av,1956-12-31,307.7002327989
DJ_Ind_Av,1957-01-31,295.1881865736
DJ_Ind_Av,1957-02-28,286.2307689411
DJ_Ind_Av,1957-03-29,292.5083539256
DJ_Ind_Av,1957-04-30,304.5521995044
DJ_Ind_Av,1957-05-31,311.0638848122
DJ_Ind_Av,1957-06-28,310.0535571012
DJ_Ind_Av,1957-07-31,313.2755168136
DJ_Ind_Av,1957-08-30,298.3855041467
DJ_Ind_Av,1957-09-30,281.1052039684
DJ_Ind_Av,1957-10-31,271.7042278287
DJ_Ind_Av,1957-11-29,277.1439800773
DJ_Ind_Av,1957-12-31,268.4083416985
DJ_Ind_Av,1958-01-31,277.2363880997
DJ_Ind_Av,1958-02-28,271.0142479285
DJ_Ind_Av,1958-03-31,275.2280537474
DJ_Ind_Av,1958-04-30,280.8341404362
DJ_Ind_Av,1958-05-30,285.0479462551
DJ_Ind_Av,1958-06-30,294.5844541609
DJ_Ind_Av,1958-07-31,309.8687410565
DJ_Ind_Av,1958-08-29,313.3432826966
DJ_Ind_Av,1958-09-30,327.7958973911
DJ_Ind_Av,1958-10-31,334.6525726490
DJ_Ind_Av,1958-11-28,343.4251742368
DJ_Ind_Av,1958-12-31,359.5596149380
DJ_Ind_Av,1959-01-30,365.9111263404
DJ_Ind_Av,1959-02-27,371.7882765614
DJ_Ind_Av,1959-03-31,370.6855408281
DJ_Ind_Av,1959-04-30,384.2633595777
DJ_Ind_Av,1959-05-29,396.6090713628
DJ_Ind_Av,1959-06-30,396.4920212012
DJ_Ind_Av,1959-07-31,415.7621741272
DJ_Ind_Av,1959-08-31,409.3120941676
DJ_Ind_Av,1959-09-30,389.1486636923
DJ_Ind_Av,1959-10-30,398.3401816480
E_AUD,1959-10-31,38.7300000000
E_BEF,1959-10-31,95.0740000000
E_CAD,1959-10-31,37.4348603873
E_CHF,1959-10-31,45.4620000000
E_DEM,1959-10-31,63.9190000000
E_ESP,1959-10-31,24.4510000000
E_FRA,1959-10-31,83.1750000000
E_GBP,1959-10-31,53.9050000000
E_ITL,1959-10-31,85.4120000000
E_JPY,1959-10-31,51.2330000000
E_NOK,1959-10-31,70.4040000000
E_NTH,1959-10-31,65.8810000000
E_SEK,1959-10-31,55.3770000000
E_USD,1959-10-31,59.8240000000
EURSTOXX50,1959-10-31,12.4165275564
DJ_Ind_Av,1959-11-30,406.0901344552
E_AUD,1959-11-30,38.8700000000
E_BEF,1959-11-30,94.5480000000
E_CAD,1959-11-30,37.2728215499
E_CHF,1959-11-30,47.3100000000
E_DEM,1959-11-30,67.6230000000
E_ESP,1959-11-30,22.9530000000
E_FRA,1959-11-30,86.2000000000
E_GBP,1959-11-30,54.0600000000
E_ITL,1959-11-30,88.9680000000
E_JPY,1959-11-30,53.1500000000
E_NOK,1959-11-30,73.0510000000
E_NTH,1959-11-30,69.0260000000
E_SEK,1959-11-30,55.6700000000
E_USD,1959-11-30,60.0470000000
EURSTOXX50,1959-11-30,12.6205736829
FTSE100,1959-11-30,20.9141995010
TOPIX,1959-11-30,67.1595663505
DJ_Ind_Av,1959-12-31,418.5220937278
E_AUD,1959-12-31,39.2430000000
E_BEF,1959-12-31,96.1430000000
E_CAD,1959-12-31,38.6378367167
E_CHF,1959-12-31,47.8060000000
E_DEM,1959-12-31,73.0380000000
E_ESP,1959-12-31,25.2120000000
E_FRA,1959-12-31,87.2230000000
E_GBP,1959-12-31,58.8850000000
E_ITL,1959-12-31,94.6840000000
E_JPY,1959-12-31,46.7840000000
E_NOK,1959-12-31,73.0790000000
E_NTH,1959-12-31,74.3620000000
E_SEK,1959-12-31,59.6610000000
E_USD,1959-12-31,64.4540000000
EURSTOXX50,1959-12-31,13.2649500038
FTSE100,1959-12-31,22.7808479027
TOPIX,1959-12-31,59.1155814138
DJ_Ind_Av,1960-01-29,383.5672191428
E_AUD,1960-01-31,41.2220000000
E_BEF,1960-01-31,96.6000000000
E_CAD,1960-01-31,36.9850405745
E_CHF,1960-01-31,48.7630000000
E_DEM,1960-01-31,74.2230000000
E_ESP,1960-01-31,25.5150000000
E_FRA,1960-01-31,79.2710000000
E_GBP,1960-01-31,56.9770000000
E_ITL,1960-01-31,101.2590000000
E_JPY,1960-01-31,50.1240000000
E_NOK,1960-01-31,74.7160000000
E_NTH,1960-01-31,71.2570000000
E_SEK,1960-01-31,60.4270000000
E_USD,1960-01-31,57.8920000000
EURSTOXX50,1960-01-31,12.7804951784
FTSE100,1960-01-31,22.0426996850
TOPIX,1960-01-31,63.3359567969
DJ_Ind_Av,1960-02-29,388.1876202599
E_AUD,1960-02-29,40.3450000000
E_BEF,1960-02-29,90.8790000000
E_CAD,1960-02-29,35.8378056052
E_CHF,1960-02-29,48.3680000000
E_DEM,1960-02-29,72.9440000000
E_ESP,1960-02-29,25.3270000000
E_FRA,1960-02-29,81.5020000000
E_GBP,1960-02-29,55.1850000000
E_ITL,1960-02-29,96.7190000000
E_JPY,1960-02-29,52.8780000000
E_NOK,1960-02-29,74.7290000000
E_NTH,1960-02-29,69.4840000000
E_SEK,1960-02-29,57.4430000000
E_USD,1960-02-29,58.6020000000
EURSTOXX50,1960-02-29,12.6177617623
